央视IPTV,#genre#
NEWTV炫舞未来,http://39.134.68.155:6610/PLTV/88888888/224/3221225719/index.m3u8?
NEWTV潮妈辣婆,http://39.134.68.155:6610/PLTV/88888888/224/3221225685/index.m3u8?
NEWTV精品体育,http://39.134.68.155:6610/PLTV/88888888/224/3221225674/index.m3u8?
NEWTV精品纪录,http://39.134.68.155:6610/PLTV/88888888/224/3221225672/index.m3u8?
NEWTV金牌综艺,http://39.134.68.155:6610/PLTV/88888888/224/3221225666/index.m3u8?
NEWTV家庭剧场,http://39.134.68.155:6610/PLTV/88888888/224/3221225677/index.m3u8?
NEWTV精品大剧,http://39.134.68.155:6610/PLTV/88888888/224/3221225670/index.m3u8?
NEWTV军事评论,http://39.134.68.155:6610/PLTV/88888888/224/3221225668/index.m3u8?
NEWTV东北热剧,http://39.134.68.155:6610/PLTV/88888888/224/3221225741/index.m3u8?
NEWTV欢乐剧场,http://39.134.68.155:6610/PLTV/88888888/224/3221225742/index.m3u8?
NEWTV精品萌宠,http://39.134.68.155:6610/PLTV/88888888/224/3221226505/index.m3u8?
NEWTV全民热练,http://39.134.68.155:6610/PLTV/88888888/224/3221226508/index.m3u8?
NEWTV爱情喜剧,http://39.134.68.155:6610/PLTV/88888888/224/3221225669/index.m3u8?
NEWTV动作电影,http://39.134.68.155:6610/PLTV/88888888/224/3221225661/index.m3u8?
NEWTV惊悚悬疑,http://39.134.68.155:6610/PLTV/88888888/224/3221225665/index.m3u8?
NEWTV海外剧场,http://39.134.68.155:6610/PLTV/88888888/224/3221225671/index.m3u8?
iHOT爱喜剧,http://php.jdshipin.com:8880/itv6s.php?cid=wasusyt&id=6000000006000010630
iHOT爱科幻,http://php.jdshipin.com:8880/itv6s.php?cid=wasusyt&id=6000000006000020630
iHOT爱院线,http://php.jdshipin.com:8880/itv6s.php?cid=wasusyt&id=6000000006000030630
iHOT爱浪漫,http://php.jdshipin.com:8880/itv6s.php?cid=wasusyt&id=6000000006000040630
iHOT爱悬疑,http://php.jdshipin.com:8880/itv6s.php?cid=wasusyt&id=6000000006000050630
iHOT爱经典,http://php.jdshipin.com:8880/itv6s.php?cid=wasusyt&id=6000000006000060630
iHOT爱谍战,http://php.jdshipin.com:8880/itv6s.php?cid=wasusyt&id=6000000006000070630
iHOT爱都市,http://php.jdshipin.com:8880/itv6s.php?cid=wasusyt&id=6000000006000080630
iHOT爱青春,http://php.jdshipin.com:8880/itv6s.php?cid=wasusyt&id=6000000006000100630
iHOT爱历史,http://php.jdshipin.com:8880/itv6s.php?cid=wasusyt&id=6000000006000150630
iHOT爱科学,http://php.jdshipin.com:8880/itv6s.php?cid=wasusyt&id=6000000006000160630
iHOT爱幼教,http://php.jdshipin.com:8880/itv6s.php?cid=wasusyt&id=6000000006000180630
iHOT爱玩具,http://php.jdshipin.com:8880/itv6s.php?cid=wasusyt&id=6000000006000220630
iHOT爱电竞,http://php.jdshipin.com:8880/itv6s.php?cid=wasusyt&id=6000000006000230630
iHOT爱赛车,http://php.jdshipin.com:8880/itv6s.php?cid=wasusyt&id=6000000006000240630
iHOT爱旅行,http://php.jdshipin.com:8880/itv6s.php?cid=wasusyt&id=6000000006000250630
iHOT爱怀旧,http://php.jdshipin.com:8880/itv6s.php?cid=wasusyt&id=6000000006000260630
iHOT爱奇谈,http://php.jdshipin.com:8880/itv6s.php?cid=wasusyt&id=6000000006000270630
iHOT爱动漫,http://php.jdshipin.com:8880/itv6s.php?cid=wasusyt&id=6000000006000280630
iHOT爱体育,http://php.jdshipin.com:8880/itv6s.php?cid=wasusyt&id=6000000006000290630

央视移动ITV,#genre#
CCTV-1,http://111.29.9.33:6610/000000001000/0/6000000001000029752.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=wasusyt&Contentid=6000000001000029752$华数8M
CCTV-1,http://111.29.9.33:6610/000000001000/1/1000000001000018602.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000001000018602$易视腾8M
CCTV-1,http://111.29.9.33:6610/000000001000/1/5000000004000002226.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=bestzb&Contentid=5000000004000002226$百视通7.5M
CCTV-1,http://111.29.9.33:6610/000000001000/1/1000000005000265001.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000005000265001$易视腾HEVC
CCTV-1,http://111.29.9.33:6610/000000001000/1/5000000010000030810.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=bestzb&Contentid=5000000010000030810$百视通4M
CCTV-1,http://111.29.9.33:6610/000000001000/1/1000000001000021973.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000001000021973$易视腾4M
CCTV-2,http://111.29.9.33:6610/000000001000/0/6000000001000014161.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=wasusyt&Contentid=6000000001000014161$华数8M
CCTV-2,http://111.29.9.33:6610/000000001000/1/1000000001000023315.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000001000023315$易视腾8M
CCTV-2,http://111.29.9.33:6610/000000001000/1/5000000011000031101.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=bestzb&Contentid=5000000011000031101$百视通6.8M
CCTV-2,http://111.29.9.33:6610/000000001000/1/1000000005000265002.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000005000265002$易视腾HEVC
CCTV-2,http://111.29.9.33:6610/000000001000/1/1000000001000012442.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000001000012442$易视腾4M
CCTV-2,http://111.29.9.33:6610/000000001000/1/5000000005000031113.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=bestzb&Contentid=5000000005000031113$百视通3.5M
CCTV-3,http://111.29.9.33:6610/000000001000/0/6000000001000022313.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=wasusyt&Contentid=6000000001000022313$华数8M
CCTV-3,http://111.29.9.33:6610/000000001000/1/1000000001000013682.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000001000013682$易视腾8M
CCTV-3,http://111.29.9.33:6610/000000001000/1/5000000004000008883.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=bestzb&Contentid=5000000004000008883$百视通6.8M
CCTV-3,http://111.29.9.33:6610/000000001000/1/1000000005000265003.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000005000265003$易视腾HEVC
CCTV-3,http://111.29.9.33:6610/000000001000/1/5000000002000020548.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=bestzb&Contentid=5000000002000020548$百视通4M
CCTV-3,http://111.29.9.33:6610/000000001000/1/1000000001000011218.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000001000011218$易视腾4M
CCTV-4,http://111.29.9.33:6610/000000001000/1/5000000011000031102.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=bestzb&Contentid=5000000011000031102$百视通6.8M
CCTV-4,http://111.29.9.33:6610/000000001000/1/1000000005000265004.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000005000265004$易视腾HEVC
CCTV-4,http://111.29.9.33:6610/000000001000/1/1000000002000031664.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000002000031664$易视腾4M
CCTV-4,http://111.29.9.33:6610/000000001000/1/5000000005000030093.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=bestzb&Contentid=5000000005000030093$百视通4M
CCTV-5,http://[2409:8087:5e08:25::b]:6610/000000001000//1000000005000025222.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000005000025222$易视腾12M
CCTV-5,http://111.29.9.33:6610/000000001000/0/6000000001000016431.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=wasusyt&Contentid=6000000001000016431$华数8M
CCTV-5,http://111.29.9.33:6610/000000001000/1/1000000003000030177.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000003000030177$易视腾8M
CCTV-5,http://111.29.9.33:6610/000000001000/1/5000000004000008885.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=bestzb&Contentid=5000000004000008885$百视通6.8M
CCTV-5,http://111.29.9.33:6610/000000001000/1/1000000005000265005.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000005000265005$易视腾HEVC
CCTV-5,http://111.29.9.33:6610/000000001000/1/5000000010000016619.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=bestzb&Contentid=5000000010000016619$百视通4M
CCTV-5,http://111.29.9.33:6610/000000001000/1/1000000001000004794.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000001000004794$易视腾4M
CCTV-5+,http://111.29.9.33:6610/000000001000/0/6000000001000015875.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=wasusyt&Contentid=6000000001000015875$华数8M
CCTV-5+,http://111.29.9.33:6610/000000001000/1/1000000001000018504.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000001000018504$易视腾8M
CCTV-5+,http://111.29.9.33:6610/000000001000/1/5000000011000031127.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=bestzb&Contentid=5000000011000031127$百视通6.8M
CCTV-5+,http://111.29.9.33:6610/000000001000/1/1000000005000265016.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000005000265016$易视腾HEVC
CCTV-5+,http://111.29.9.33:6610/000000001000/1/1000000001000020505.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000001000020505$易视腾4M
CCTV-6,http://111.29.9.33:6610/000000001000/0/6000000001000004574.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=wasusyt&Contentid=6000000001000004574$华数8M
CCTV-6,http://111.29.9.33:6610/000000001000/1/1000000001000001737.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000001000001737$易视腾8M
CCTV-6,http://111.29.9.33:6610/000000001000/1/5000000004000008886.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=bestzb&Contentid=5000000004000008886$百视通6.8M
CCTV-6,http://111.29.9.33:6610/000000001000/1/1000000005000265006.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000005000265006$易视腾HEVC
CCTV-6,http://111.29.9.33:6610/000000001000/1/5000000010000018433.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=bestzb&Contentid=5000000010000018433$百视通4M
CCTV-6,http://111.29.9.33:6610/000000001000/1/1000000001000016466.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000001000016466$易视腾4M
CCTV-7,http://111.29.9.33:6610/000000001000/0/6000000001000009055.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=wasusyt&Contentid=6000000001000009055$华数8M
CCTV-7,http://111.29.9.33:6610/000000001000/1/1000000001000024341.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000001000024341$易视腾8M
CCTV-7,http://111.29.9.33:6610/000000001000/1/5000000011000031104.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=bestzb&Contentid=5000000011000031104$百视通6.8M
CCTV-7,http://111.29.9.33:6610/000000001000/1/1000000005000265007.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000005000265007$易视腾HEVC
CCTV-7,http://111.29.9.33:6610/000000001000/1/1000000001000017218.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000001000017218$易视腾4M
CCTV-7,http://111.29.9.33:6610/000000001000/1/5000000005000026715.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=bestzb&Contentid=5000000005000026715$百视通4M
CCTV-8,http://111.29.9.33:6610/000000001000/0/6000000001000001070.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=wasusyt&Contentid=6000000001000001070$华数8M
CCTV-8,http://111.29.9.33:6610/000000001000/1/1000000001000031433.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000001000031433$易视腾8M
CCTV-8,http://111.29.9.33:6610/000000001000/1/5000000004000008888.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=bestzb&Contentid=5000000004000008888$百视通6.8M
CCTV-8,http://111.29.9.33:6610/000000001000/1/1000000005000265008.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000005000265008$易视腾HEVC
CCTV-8,http://111.29.9.33:6610/000000001000/1/5000000010000018377.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=bestzb&Contentid=5000000010000018377$百视通4M
CCTV-8,http://111.29.9.33:6610/000000001000/1/1000000001000003736.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000001000003736$易视腾4M
CCTV-9,http://111.29.9.33:6610/000000001000/0/6000000001000032162.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=wasusyt&Contentid=6000000001000032162$华数8M
CCTV-9,http://111.29.9.33:6610/000000001000/1/1000000001000014583.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000001000014583$易视腾8M
CCTV-9,http://111.29.9.33:6610/000000001000/1/1000000005000265009.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000005000265009$易视腾HEVC
CCTV-9,http://111.29.9.33:6610/000000001000/1/5000000010000018384.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=bestzb&Contentid=5000000010000018384$百视通4M
CCTV-9,http://111.29.9.33:6610/000000001000/1/1000000001000028286.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000001000028286$易视腾4M
CCTV-10,http://111.29.9.33:6610/000000001000/1/5000000004000012827.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=bestzb&Contentid=5000000004000012827$百视通8M
CCTV-10,http://111.29.9.33:6610/000000001000/0/6000000001000031506.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=wasusyt&Contentid=6000000001000031506$华数8M
CCTV-10,http://111.29.9.33:6610/000000001000/1/1000000001000023734.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000001000023734$易视腾8M
CCTV-10,http://111.29.9.33:6610/000000001000/1/1000000005000265010.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000005000265010$易视腾HEVC
CCTV-10,http://111.29.9.33:6610/000000001000/1/5000000010000016738.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=bestzb&Contentid=5000000010000016738$百视通4M
CCTV-10,http://111.29.9.33:6610/000000001000/1/1000000001000026367.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000001000026367$易视腾4M
CCTV-11,http://111.29.9.33:6610/000000001000/1/5000000011000031106.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=bestzb&Contentid=5000000011000031106$百视通6.8M
CCTV-11,http://111.29.9.33:6610/000000001000/1/1000000005000265011.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000005000265011$易视腾HEVC
CCTV-11,http://111.29.9.33:6610/000000001000/1/5000000006000040011.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=bestzb&Contentid=5000000006000040011$百视通4M
CCTV-11,http://111.29.9.33:6610/000000001000/1/1000000002000019789.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000002000019789$易视腾4M
CCTV-12,http://111.29.9.33:6610/000000001000/0/6000000001000022586.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=wasusyt&Contentid=6000000001000022586$华数8M
CCTV-12,http://111.29.9.33:6610/000000001000/1/1000000001000032494.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000001000032494$易视腾8M
CCTV-12,http://111.29.9.33:6610/000000001000/1/5000000011000031107.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=bestzb&Contentid=5000000011000031107$百视通6.8M
CCTV-12,http://111.29.9.33:6610/000000001000/1/1000000005000265012.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000005000265012$易视腾HEVC
CCTV-12,http://111.29.9.33:6610/000000001000/1/1000000001000001640.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000001000001640$易视腾4M
CCTV-12,http://111.29.9.33:6610/000000001000/1/5000000006000040012.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=bestzb&Contentid=5000000006000040012$百视通4M
CCTV-13,http://111.29.9.33:6610/000000001000/1/5000000011000031108.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=bestzb&Contentid=5000000011000031108$百视通6.8M
CCTV-13,http://111.29.9.33:6610/000000001000/1/1000000005000265101.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000005000265101$易视腾HEVC
CCTV-13,http://111.29.9.33:6610/000000001000/1/5000000005000001827.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=bestzb&Contentid=5000000005000001827$百视通4M
CCTV-13,http://111.29.9.33:6610/000000001000/1/1000000002000021303.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000002000021303$易视腾4M
CCTV-14,http://111.29.9.33:6610/000000001000/1/5000000004000006673.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=bestzb&Contentid=5000000004000006673$百视通8M
CCTV-14,http://111.29.9.33:6610/000000001000/0/6000000001000013647.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=wasusyt&Contentid=6000000001000013647$华数8M
CCTV-14,http://111.29.9.33:6610/000000001000/1/1000000001000008170.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000001000008170$易视腾8M
CCTV-14,http://111.29.9.33:6610/000000001000/1/1000000005000265013.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000005000265013$易视腾HEVC
CCTV-14,http://111.29.9.33:6610/000000001000/1/5000000010000023358.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=bestzb&Contentid=5000000010000023358$百视通4M
CCTV-14,http://111.29.9.33:6610/000000001000/1/1000000001000021349.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000001000021349$易视腾4M
CCTV-15,http://111.29.9.33:6610/000000001000/1/5000000011000031109.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=bestzb&Contentid=5000000011000031109$百视通6.8M
CCTV-15,http://111.29.9.33:6610/000000001000/1/1000000005000265014.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000005000265014$易视腾HEVC
CCTV-15,http://111.29.9.33:6610/000000001000/1/1000000002000008163.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000002000008163$易视腾4M
CCTV-15,http://111.29.9.33:6610/000000001000/1/5000000005000018417.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=bestzb&Contentid=5000000005000018417$百视通4M
CCTV-16,http://111.29.9.33:6610/000000001000/1/1000000006000233002.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000006000233002$易视腾8M
CCTV-16,http://111.29.9.33:6610/000000001000/1/5000000008000023253.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=bestzb&Contentid=5000000008000023253$百视通6.8M
CCTV-16http://111.29.9.33:6610/000000001000/1/2000000003000000059.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000003000000059$湖南bblive4M
CCTV-16,http://111.29.9.33:6610/000000001000/1/1000000006000233001.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000006000233001$易视腾4M
CCTV-16-4K,http://111.29.9.33:6610/000000001000/1/5000000008000023254.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=bestzb&Contentid=5000000008000023254$百视通12M
CCTV-17,http://111.29.9.33:6610/000000001000/1/1000000006000268004.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000006000268004$易视腾8M
CCTV-17,http://111.29.9.33:6610/000000001000/1/1000000005000265015.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000005000265015$易视腾HEVC
CCTV-17http://111.29.9.33:6610/000000001000/1/2000000003000000038.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000003000000038$湖南bblive4M
CCTV-17,http://111.29.9.33:6610/000000001000/1/1000000005000056836.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000005000056836$易视腾4M
CGTN,http://111.29.9.33:6610/000000001000/1/7745129417417101820.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=7745129417417101820$湖南bblive8M
CGTN,http://111.29.9.33:6610/000000001000/1/1000000002000009569.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000002000009569$易视腾4M
CGTN阿拉伯语,http://111.29.9.33:6610/000000001000/1/1000000006000280001.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000006000280001$易视腾4M
CGTN俄语,http://111.29.9.33:6610/000000001000/1/1000000006000280004.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000006000280004$易视腾4M
CGTN法语,http://111.29.9.33:6610/000000001000/1/1000000006000280003.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000006000280003$易视腾4M
CGTN记录,http://111.29.9.33:6610/000000001000/1/7114647837765104058.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=7114647837765104058$湖南bblive8M
CGTN西班牙语,http://111.29.9.33:6610/000000001000/1/1000000006000280002.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000006000280002$易视腾4M
4KUHD,http://111.29.9.33:6610/000000001000/1/1000000004000011651.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000004000011651$易视腾20M
华数4K,http://111.29.9.33:6610/000000001000/0/6000000003000004748.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=wasusyt&Contentid=6000000003000004748$华数16M
华数4K,http://111.29.9.33:6610/000000001000/1/2000000004000000014.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000004000000014$湖南bblive15M
华数服务,http://111.29.9.33:6610/000000001000/1/2000000004000000025.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000004000000025$湖南bblive4M
中国教育1,http://111.29.9.33:6610/000000001000/1/5000000002000002652.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=bestzb&Contentid=5000000002000002652$百视通4M
中国教育1,http://111.29.9.33:6610/000000001000/1/1000000002000027253.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000002000027253$易视腾4M
中国教育1,http://111.29.9.33:6610/000000001000/0/6000000003000018981.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=wasusyt&Contentid=6000000003000018981$华数1.8M
中国教育2,http://111.29.9.33:6610/000000001000/1/2000000003000000047.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000003000000047$湖南bblive4M
中国教育2,http://111.29.9.33:6610/000000001000/1/1000000005000266004.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000005000266004$易视腾4M
中国教育2,http://111.29.9.33:6610/000000001000/1/5000000011000031201.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=bestzb&Contentid=5000000011000031201$百视通2.5M
中国教育4,http://111.29.9.33:6610/000000001000/1/5000000011000031126.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=bestzb&Contentid=5000000011000031126$百视通6.8M
中国教育4,http://111.29.9.33:6610/000000001000/1/1000000005000025333.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000005000025333$易视腾4M
中国教育4,http://111.29.9.33:6610/000000001000/1/5000000006000012123.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=bestzb&Contentid=5000000006000012123$百视通2.5M
中国教育4,http://111.29.9.33:6610/000000001000/0/6000000005000042312.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=wasusyt&Contentid=6000000005000042312$华数1.8M

卫视ITV,#genre#
广东珠江,http://111.29.9.33:6610/000000001000/1/2000000003000000033.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000003000000033$湖南bblive
广东珠江,http://111.29.9.33:6610/000000001000/1/1000000004000011655.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000004000011655$易视腾2.5M
广东大湾区卫视,http://111.29.9.33:6610/000000001000/1/2000000003000000045.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000003000000045$湖南bblive4M
广东大湾区卫视,http://111.29.9.33:6610/000000001000/1/1000000002000011619.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000002000011619$易视腾4M
湖南卫视,http://111.29.9.33:6610/000000001000/1/5000000004000006692.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=bestzb&Contentid=5000000004000006692$百视通8M
湖南卫视,http://111.29.9.33:6610/000000001000/0/6000000001000018044.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=wasusyt&Contentid=6000000001000018044$华数8M
湖南卫视,http://111.29.9.33:6610/000000001000/1/1000000001000032695.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000001000032695$易视腾8M
湖南卫视,http://111.29.9.33:6610/000000001000/1/1000000005000265024.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000005000265024$易视腾HEVC
湖南卫视,http://111.29.9.33:6610/000000001000/1/5000000010000030452.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=bestzb&Contentid=5000000010000030452$百视通4M
湖南卫视,http://111.29.9.33:6610/000000001000/1/1000000001000009115.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000001000009115$易视腾4M
江苏卫视,http://111.29.9.33:6610/000000001000/0/6000000001000014861.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=wasusyt&Contentid=6000000001000014861$华数8M
江苏卫视,http://111.29.9.33:6610/000000001000/1/1000000001000001828.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000001000001828$易视腾8M
江苏卫视,http://111.29.9.33:6610/000000001000/1/5000000004000019351.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=bestzb&Contentid=5000000004000019351$百视通7.5M
江苏卫视,http://111.29.9.33:6610/000000001000/1/1000000005000265030.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000005000265030$易视腾HEVC
江苏卫视,http://111.29.9.33:6610/000000001000/1/5000000010000018509.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=bestzb&Contentid=5000000010000018509$百视通4M
